,0,1
0,疫情,0.11912294859704146
1,肺炎,0.11055183921684136
2,全文,0.09896922233781136
3,武汉,0.08653435069252709
4,展开,0.07282289241826259
5,加油,0.060396253662755174
6,口罩,0.057737899296916
7,确诊,0.047917340409658435
8,新冠,0.045060153220399156
9,病例,0.043112362196566556
10,感染,0.04278686859643067
11,病毒,0.04090026875872963
12,医院,0.03522556557504731
13,患者,0.033405320917091134
14,视频,0.03276271976484176
15,网页,0.032327948806561826
16,链接,0.031009521739956396
17,致敬,0.025251712758224455
18,隔离,0.02448653098084746
19,医护人员,0.022201996864772915
20,湖北,0.02183352867944201
21,医生,0.020275206438533633
22,打卡,0.01906030403713307
23,卫健委,0.01811146889874087
24,出院,0.017497216222247255
25,中国,0.01702356334989813
26,大家,0.016448027627049253
27,治愈,0.016390183033353274
28,没有,0.015687250330511104
29,希望,0.015585062800449967
30,医用,0.01423829082197198
31,发热,0.013859673942509093
32,钟南山,0.013779294200016197
33,转发,0.013740735889898976
34,健康,0.013190900738973856
35,治疗,0.0128036104960136
36,肖战,0.012562349511614255
37,新闻,0.012479091615982256
38,防护,0.012414449293612637
39,新增,0.012277666352539497
40,酒精,0.012173722385749347
41,物资,0.01212093900823893
42,复工,0.011909280661426484
43,朱一龙,0.01159714066113227
44,全国,0.011574160533591114
45,社区,0.011327061602028836
46,症状,0.011320896900746403
47,医疗队,0.01117094804171221
48,上班,0.011100770212804955
49,平安,0.010739102817894648
