1,疫情,25038
2,防控,18251
3,组织,12581
4,工作,12159
5,社会,11636
6,企业,8742
7,协会,7644
8,捐赠,6792
9,服务,6612
10,物资,5144
11,积极,4920
12,万元,4729
13,肺炎,4421
14,防疫,4251
15,做好,4134
16,会员,3971
17,社区,3879
18,复工,3744
19,口罩,3692
20,开展,3571
21,新型,3405
22,慈善,3402
23,冠状病毒,3260
24,商会,3196
25,提供,3149
26,行业,3146
27,参与,3138
28,抗击,3032
29,一线,2985
30,志愿者,2919
31,宣传,2823
32,通过,2787
33,医院,2561
34,人员,2536
35,要求,2471
36,捐款,2463
37,心理,2438
38,会员单位,2426
39,行业协会,2399
40,单位,2293
41,防护,2224
42,复产,2215
43,感染,2212
44,爱心,2210
45,相关,2201
46,关于,2184
47,进行,2178
48,公益,2150
49,及时,2113
50,活动,2065
51,发挥,2052
52,倡议,1998
53,保障,1997
54,支持,1944
55,引导,1924
56,责任,1902
57,武汉,1888
58,有序,1847
59,发出,1847
60,动员,1832
61,加强,1821
62,情况,1791
63,管理,1773
64,机构,1741
65,抗疫,1729
66,信息,1717
67,部署,1683
68,志愿,1679
69,发布,1670
70,基金会,1633
71,生产,1632
72,中国,1589
73,全市,1580
74,党员,1580
75,力量,1512
76,医用,1488
77,打赢,1484
78,专业,1463
79,发展,1461
80,期间,1457
81,阻击战,1447
82,同时,1446
83,有限公司,1427
84,服务中心,1408
85,消毒,1399
86,社工,1377
87,联合,1372
88,优势,1358
89,号召,1350
90,中心,1345
91,助力,1335
92,主动,1333
93,协助,1330
94,民政局,1327
95,行动,1310
96,新冠,1309
97,累计,1296
98,总会,1296
99,价值,1295
100,落实,1287
101,湖北,1285
102,措施,1283
103,指导,1272
104,有关,1267
105,用于,1263
106,通知,1262
107,医疗,1246
108,作用,1235
109,部门,1232
110,群众,1228
111,健康,1223
112,配合,1214
113,时间,1213
114,登记,1210
115,工作人员,1205
116,自身,1198
117,募捐,1192
118,帮助,1184
119,安全,1182
120,平台,1166
121,应急,1136
122,消毒液,1130
123,广大,1128
124,作为,1118
125,知识,1116
126,倡议书,1097
127,政府,1096
128,员工,1087
129,线上,1084
130,截至,1079
131,科学,1074
132,10,1072
133,人民,1067
134,方式,1066
135,目前,1059
136,党委,1053
137,担当,1049
138,社会工作,1048
139,党组织,1024
140,全省,1011
141,第一,1010
142,坚决,1002
143,免费,988
144,充分发挥,987
145,重要,977
146,党支部,970
147,集团,947
148,问题,946
149,微信,944
150,支援,933
151,捐款捐物,931
152,政策,930
153,援助,929
154,需求,928
155,依法,924
156,采购,922
157,确保,922
158,红十字会,917
159,资金,916
160,按照,914
161,排查,896
162,全体,895
163,北京,885
164,各级,856
165,积极响应,850
166,全力,842
167,各类,837
168,联合会,830
169,街道,829
170,应对,828
171,广州市,819
172,山东省,810
173,心理咨询,806
174,全国,800
175,精神,784
176,党中央,780
177,100,778
178,公司,767
179,防护服,767
180,以及,766
181,成立,764
182,共同,764
183,公众,764
184,发放,761
185,协调,760
186,居民,749
187,隔离,741
188,培训,739
189,20,728
190,贡献,721
191,发生,721
192,厦门市,721
193,医护人员,718
194,决策,717
195,30,717
196,习近平,714
197,接收,709
198,湖北省,705
199,2020,702
200,我们,702
201,各项,698
202,影响,695
203,总书记,690
204,全面,686
205,战斗,684
206,网络,681
207,地区,679
208,其中,678
209,资源,675
210,以来,674
211,困难,674
212,热线,671
213,积极参与,670
214,工作者,668
215,有效,668
216,解决,663
217,公开,657
218,款物,657
219,1000,645
220,就是,643
221,项目,640
222,严格,639
223,安排,638
224,民政厅,638
225,当前,637
226,紧急,634
227,个人,634
228,发起,629
229,善款,626
230,电话,624
231,重点,619
232,了解,614
233,开通,612
234,发动,606
235,他们,605
236,生活,604
237,贯彻落实,598
238,消杀,596
239,政治,595
240,经营,595
241,推动,594
242,酒精,593
243,领导,591
244,疫区,591
245,产品,590
246,武汉市,590
247,根据,588
248,需要,587
249,疏导,584
250,对接,583
251,24,581
252,各地,580
253,维护,574
254,强化,569
255,购买,568
256,进一步,567
257,使用,566
258,咨询,565
259,稳定,565
260,联系,564
261,针对,562
262,物流,560
263,重庆市,557
264,统一,552
265,小区,551
266,履行,550
267,学会,544
268,副会长,542
269,响应,537
270,企业家,537
271,供应,536
272,投入,534
273,先锋,534
274,救援,531
275,国家,529
276,结合,528
277,方面,525
278,众志成城,524
279,家庭,523
280,市场,517
281,200,515
282,西安市,513
283,二是,510
284,科技,508
285,手套,507
286,市民,507
287,一是,506
288,共计,505
289,人次,505
290,募集,504
291,学习,503
292,在线,501
293,建议,499
294,促进会,498
295,深圳市,497
296,机关,497
297,教育,497
298,设备,495
299,做到,495
300,广泛,495
301,一次性,495
302,小时,494
303,会议,492
304,养老,492
305,制定,491
306,提高,486
307,渠道,481
308,专家,481
309,管理局,481
310,每天,480
311,防治,480
312,建立,477
313,检测,475
314,救援队,474
315,部分,473
316,提出,472
317,建设,471
318,任务,466
319,三是,466
320,运输,464
321,坚持,464
322,采取,462
323,规范,461
324,厦门,460
325,切实,454
326,鼓励,453
327,护目镜,453
328,体温,453
329,筹集,452
330,12,450
331,持续,449
332,参加,448
333,深入,447
334,国务院,447
335,贡献力量,445
336,统计,444
337,急需,443
338,北京市,443
339,预防,440
340,迅速,440
341,聚集,440
342,车辆,437
343,系统,431
344,方案,430
345,印发,424
346,这场,423
347,奋战,423
348,实际行动,422
349,驰援,417
350,时艰,416
351,捐助,415
352,技术,415
353,慈善会,414
354,卫生,413
355,50,411
356,使命,410
357,引领,409
358,倡导,408
359,利用,405
360,团队,405
361,病毒,403
362,形式,403
363,收集,403
364,当地,401
365,自己,400
366,模范作用,399
367,宁波市,399
368,媒体,397
369,奉献,397
370,食品,396
371,领域,395
372,广州,395
373,500,394
374,小组,394
375,认真,393
376,会长,392
377,关注,391
378,基层,391
379,患者,390
380,办理,388
381,慰问,388
382,大家,387
383,居家,386
384,民政部,385
385,文化,383
386,人士,382
387,法律,379
388,区域,379
389,启动,378
390,经济,377
391,增强,377
392,青年,376
393,2000,376
394,动态,375
395,组建,374
396,指示精神,374
397,报告,373
398,15,372
399,传播,372
400,指引,371
401,带头,370
402,办公,368
403,药品,368
404,广东省,368
405,意识,367
406,能量,365
407,共克,365
408,儿童,364
409,包括,364
410,蓝天,364
411,民政部门,364
412,省委,363
413,业务,362
414,精准,361
415,人民币,359
416,全部,359
417,风险,359
418,推进,357
419,300,354
420,老人,354
421,分别,354
422,重庆,354
423,干预,354
424,领导小组,351
425,指挥部,351
426,科普,349
427,面对,348
428,研究,348
429,转发,347
430,其他,346
431,纷纷,346
432,物业,345
433,27,345
434,多家,344
435,特别,344
436,截止,344
437,定向,342
438,联防,342
439,情绪,342
440,市委,341
441,自我,340
442,保证,340
443,救助,339
444,呼吁,336
445,医药,335
446,餐饮,335
447,农业,334
448,所有,333
449,亿元,332
450,接受,331
451,中央,331
452,现金,331
453,视频,330
454,84,329
455,所属,328
456,危机,328
457,实际,326
458,没有,325
459,11,324
460,基金,324
461,万个,324
462,能力,322
463,委员会,322
464,举办,322
465,减少,320
466,监测,320
467,特殊,319
468,关爱,318
469,党建,317
470,完成,316
471,26,315
472,旅游,315
473,服务队,315
474,国际,314
475,25,313
476,互联网,310
477,春节,310
478,用品,310
479,得到,309
480,合作,307
481,全区,307
482,联控,306
483,律师,305
484,统筹,305
485,专项,305
486,省政府,305
